5002.00.00.000F;SEDA CRUDA (SIN TORCER).;50;2;SEDA;FIBRA;MATERIA PRIMA
5004.00.00.000T;HILADOS DE SEDA (EXCEPTO LOS HILADOS DEDESPERDICIOS DE SEDA) SIN ACONDICIONAR PARA LAVENTA AL POR MENOR.;50;4;SEDA;HILADO;PRODUCTO INTERMEDIO
5006.00.00.000E;"HILADOS DE SEDA O DE DESPERDICIOS DE SEDA,ACONDICIONADOS PARA LA VENTA AL POR MENOR; «PELO DE MESINA» («CRIN DE FLORENCIA»).";50;6;SEDA;HILADO;PRODUCTO INTERMEDIO
5007.10.10.000X;ESTAMPADOS, TEÑIDOS O DE HILADOS DE DISTINTOS COLORES;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.10.90.000A;LOS DEMÁS;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.20.10.100R;DE PESO INFERIOR A 100 G/M2;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.20.10.200X;DE PESO SUPERIOR O IGUAL A 100 G/M2 PERO INFERIOR A 200 G/M2;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.20.10.900K;LOS DEMÁS;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.20.90.100V;DE PESO INFERIOR A 100 G/M2;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.20.90.200A;DE PESO SUPERIOR O IGUAL A 100 G/M2 PERO INFERIOR A 200 G/M2;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.20.90.900N;LOS DEMÁS;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.90.00.100F;MEZCLADOS EXCLUSIVA O PRINCIPALMENTE CON LANA;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
5007.90.00.300R;MEZCLADOS EXCLUSIVA O PRINCIPALMENTE CON FIBRAS DE NAILON O DEMÁS POLIAMIDAS;50;7;SEDA;TEJIDOS;PRODUCTO INTERMEDIO
